Rank,Title,Author,Rating_raw,Score_raw,Link,Description,Genre_list,Page_raw,Publication_raw,CurrentlyRead_raw,toRead_raw,AuthorStats_raw,Rating5_raw,Rating4_raw,Rating3_raw,Rating2_raw,Rating1_raw
641,The Art of War,Sun Tzu," 3.95 avg rating — 542,999 ratings","score: 17,284",https://www.goodreads.com/book/show/10534.The_Art_of_War,"Twenty-Five Hundred years ago, Sun Tzu wrote this classic book of military strategy based on Chinese warfare and military thought. Since that time, all levels of military have used the teaching on Sun Tzu to warfare and civilization have adapted these teachings for use in politics, business and everyday life. The Art of War is a book which should be used to gain advantage of opponents in the boardroom and battlefield alike.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Nonfiction'}, {'Genre_list': 'Philosophy'}, {'Genre_list': 'History'}, {'Genre_list': 'War'}, {'Genre_list': 'Politics'}, {'Genre_list': 'Business'}]","170 pages, Paperback","First published January 1, 401",78847 people are currently reading,667605 people want to read,"1,201 books3,378 followers","190,228 (35%)","184,437 (33%)","127,881 (23%)","31,759 (5%)","8,694 (1%)"
642,Just Listen,Sarah Dessen," 4.05 avg rating — 249,369 ratings","score: 17,264",https://www.goodreads.com/book/show/51738.Just_Listen,"Last year, Annabel was ""the girl who has everything"" — at least that's the part she played in the television commercial for Kopf's Department Store.This year, she's the girl who has nothing: no best friend because mean-but-exciting Sophie dropped her, no peace at home since her older sister became anorexic, and no one to sit with at lunch. Until she meets Owen Armstrong.Tall, dark, and music-obsessed, Owen is a reformed bad boy with a commitment to truth-telling. With Owen's help, maybe Annabel can face what happened the night she and Sophie stopped being friends.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Realistic Fiction'}, {'Genre_list': 'Chick Lit'}, {'Genre_list': 'Teen'}]","371 pages, Hardcover","First published April 6, 2006",2275 people are currently reading,130956 people want to read,88 books47.2k followers,"100,594 (40%)","83,086 (33%)","49,008 (19%)","12,109 (4%)","4,572 (1%)"
643,The Last Lecture,Randy Pausch," 4.26 avg rating — 357,700 ratings","score: 17,248",https://www.goodreads.com/book/show/40611510-the-last-lecture,"A lot of professors give talks titled 'The Last Lecture'. Professors are asked to consider their demise and to ruminate on what matters most to them: What wisdom would we impart to the world if we knew it was our last chance? If we had to vanish tomorrow, what would we want as our legacy?When Randy Pausch, a computer science professor at Carnegie Mellon, was asked to give such a lecture, he didn't have to imagine it as his last, since he had recently been diagnosed with terminal cancer. But the lecture he gave, 'Really Achieving Your Childhood Dreams', wasn't about dying. It was about the importance of overcoming obstacles, of enabling the dreams of others, of seizing every moment (because time is all you have and you may find one day that you have less than you think). It was a summation of everything Randy had come to believe. It was about living.In this book, Randy Pausch has combined the humour, inspiration, and intelligence that made his lecture such a phenomenon and given it an indelible form. It is a book that will be shared for generations to come.","[{'Genre_list': 'Nonfiction'}, {'Genre_list': 'Memoir'}, {'Genre_list': 'Biography'}, {'Genre_list': 'Self Help'}, {'Genre_list': 'Philosophy'}, {'Genre_list': 'Inspirational'}, {'Genre_list': 'Book Club'}]","217 pages, Kindle Edition","First published April 8, 2008",7857 people are currently reading,243622 people want to read,"14 books1,395 followers","182,433 (51%)","108,534 (30%)","49,390 (13%)","12,534 (3%)","4,809 (1%)"
644,The Love Hypothesis,Ali Hazelwood," 4.12 avg rating — 1,641,888 ratings","score: 17,212",https://www.goodreads.com/book/show/56732449-the-love-hypothesis,"When a fake relationship between scientists meets the irresistible force of attraction, it throws one woman's carefully calculated theories on love into chaosAs a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships—but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees.That man is none other than Adam Carlsen, a young hotshot professor—and well-known ass. Which is why Olive is positively floored when Stanford's reigning lab tyrant agrees to keep her charade a secret and be her fake boyfriend. And when a big science conference goes haywire, putting Olive's career on the Bunsen burner, Adam surprises her again with his unyielding support and even more unyielding. . . six-pack abs.Suddenly their little experiment feels dangerously close to combustion. And Olive discovers that the only thing more complicated than a hypothesis on love is putting her own heart under the microscope.","[{'Genre_list': 'Romance'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Fake Dating'}, {'Genre_list': 'Contemporary Romance'}, {'Genre_list': 'Audiobook'}, {'Genre_list': 'Adult'}]","356 pages, Paperback","First published September 14, 2021",40545 people are currently reading,1113575 people want to read,25 books149k followers,"687,938 (41%)","584,313 (35%)","270,056 (16%)","71,593 (4%)","27,964 (1%)"
645,Verity,Colleen Hoover," 4.30 avg rating — 3,451,645 ratings","score: 17,196",https://www.goodreads.com/book/show/59344312-verity,"Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of what really happened the day her daughter died.Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents would devastate the already grieving father. But as Lowen's feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife's words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue to love her.","[{'Genre_list': 'Thriller'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Mystery Thriller'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Suspense'}]","336 pages, ebook","First published December 7, 2018",100621 people are currently reading,1163233 people want to read,119 books752k followers,"1,877,525 (54%)","985,455 (28%)","399,785 (11%)","129,645 (3%)","59,229 (1%)"
646,No Country for Old Men,Cormac McCarthy," 4.16 avg rating — 228,704 ratings","score: 17,170",https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men,"Alternate Cover Edition for ISBN 9780375706677In his blistering new novel, Cormac McCarthy returns to the Texas-Mexico border, the setting of his famed Border Trilogy. The time is our own, when rustlers have given way to drug-runners and small towns have become free-fire zones. One day, Llewellyn Moss finds a pickup truck surrounded by a bodyguard of dead men. A load of heroin and two million dollars in cash are still in the back. When Moss takes the money, he sets off a chain reaction of catastrophic violence that not even the law–in the person of aging, disillusioned Sheriff Bell–can contain.As Moss tries to evade his pursuers–in particular a mysterious mastermind who flips coins for human lives–McCarthy simultaneously strips down the American crime novel and broadens its concerns to encompass themes as ancient as the Bible and as bloodily contemporary as this morning’s headlines. No Country for Old Men is a triumph.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Thriller'}, {'Genre_list': 'Westerns'}, {'Genre_list': 'Crime'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Novels'}]","309 pages, Paperback","First published July 19, 2005",6694 people are currently reading,193097 people want to read,58 books27.2k followers,"94,882 (41%)","90,407 (39%)","32,640 (14%)","7,700 (3%)","3,072 (1%)"
647,"Silence (Hush, Hush, #3)",Becca Fitzpatrick," 4.07 avg rating — 291,840 ratings","score: 17,129",https://www.goodreads.com/book/show/10637766-silence,"Nora Grey can't remember the past five months of her life. After the initial shock of waking up in a cemetery and being told that she has been missing for weeks - with no one knowing where she was or who she was with - she tried to get her life back on track. Go to school, hang out with her best friend, Vee, and dodge mom's creepy new boyfriend.But there is this voice in the back of her head, an idea that she can almost reach out and touch. Visions of angel wings and unearthly creatures that have nothing to do with the life she knows.And this unshakable feeling that a part of her is missing.Then Nora crosses paths with a sexy stranger, whom she feels a mesmerizing connection to. He seems to hold all the answers...and her heart. Every minute she spends with him grows more and more intense until she realizes she could be falling in love. Again.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Angels'}, {'Genre_list': 'Paranormal'}, {'Genre_list': 'Paranormal Romance'}, {'Genre_list': 'Fiction'}]","440 pages, Hardcover","First published October 4, 2011",3065 people are currently reading,107107 people want to read,18 books32.6k followers,"128,926 (44%)","85,448 (29%)","53,609 (18%)","16,495 (5%)","7,362 (2%)"
648,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer," 4.24 avg rating — 447,497 ratings","score: 17,125",https://www.goodreads.com/book/show/13206760-scarlet,"Cinder is back and trying to break out of prison―even though she'll be the Commonwealth's most wanted fugitive if she does―in this second installment from Marissa Meyer. Halfway around the world, Scarlet Benoit's grandmother is missing. It turns out there are many things Scarlet doesn't know about her grandmother, or the grave danger she has lived in her whole life. When Scarlet encounters Wolf, a street fighter who may have information as to her grandmother's whereabouts, she is loath to trust this stranger, but is inexplicably drawn to him, and he to her. As Scarlet and Wolf unravel one mystery, they encounter another when they meet Cinder. Now, all of them must stay one step ahead of the vicious Lunar Queen Levana. The adventure continues in this fresh fairytale retelling that combines elements of Cinderella and Little Red Riding Hood.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Dystopia'}, {'Genre_list': 'Retellings'}, {'Genre_list': 'Fiction'}]","454 pages, Hardcover","First published February 5, 2013",10179 people are currently reading,227465 people want to read,107 books130k followers,"195,703 (43%)","176,876 (39%)","62,921 (14%)","9,308 (2%)","2,691 (<1%)"
649,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson," 3.66 avg rating — 358,509 ratings","score: 17,110",https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea,Tres tazas de te( La lucha de un hombre por promover la paz escuela a escuela = Three Cups of Tea) <> Paperback <> GregMortenson <> RocaEditorial,"[{'Genre_list': 'Nonfiction'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Memoir'}, {'Genre_list': 'Biography'}, {'Genre_list': 'Travel'}, {'Genre_list': 'Education'}, {'Genre_list': 'Biography Memoir'}]","349 pages, Paperback","First published January 1, 2006",5810 people are currently reading,211077 people want to read,"8 books1,805 followers","92,460 (25%)","121,509 (33%)","93,712 (26%)","33,092 (9%)","17,736 (4%)"
650,Sapiens: A Brief History of Humankind,Yuval Noah Harari," 4.34 avg rating — 1,180,138 ratings","score: 17,108",https://www.goodreads.com/book/show/23692271-sapiens,"From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.” One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—homo sapiens. What happened to the others? And what may happen to us? Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas. Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become? Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem.","[{'Genre_list': 'Nonfiction'}, {'Genre_list': 'History'}, {'Genre_list': 'Science'}, {'Genre_list': 'Audiobook'}, {'Genre_list': 'Philosophy'}, {'Genre_list': 'Anthropology'}, {'Genre_list': 'Psychology'}]","512 pages, Paperback","First published January 1, 2011",195353 people are currently reading,1352191 people want to read,57 books37.8k followers,"652,580 (55%)","352,054 (29%)","123,768 (10%)","32,723 (2%)","19,014 (1%)"
651,Taming Flame,Therisa Peimer," 4.29 avg rating — 17,327 ratings","score: 17,085",https://www.goodreads.com/book/show/61608233-taming-flame,"""His words had her melting like cheap ice cream on a sizzling summer day, but she had to clarify some things before they got to the kissing.""""Just that she is all heart. She doesn't have an artificial bone in her body, and therefore, doesn't have the ruthlessness necessary to survive the royal court.""Flaminius's days of bouncing between beds are snatched away the instant he sets eyes on his perfect genetic match, Aurelia. Suddenly, the tedious task of claiming his rightful place on the throne of Arkhnuet doesn't seem as daunting with his whip-smart wife by his side. But it's not like Aurelia had a choice; Flaminius is the only soul she can reproduce with, and she's not about to play a role in her people's extinction. After a swift wedding and passionate honeymoon, an assassination attempt plummets the lovers back into the reality of ruling. Fueled by their indomitable matched hormones and fierce loyalty to each other, together they must evade his mother's Machiavellian schemes, hunt down the mysterious cause of death among the match-making Keys, and protect the people from a violent supremacist cult, the Oradagra. But it turns out that the greatest threat to their existence is something neither of them could have seen coming, and it's a race against time to save the entire Arkhnuetian planet.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Novels'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Magic'}, {'Genre_list': 'Science Fiction Fantasy'}, {'Genre_list': 'Epic'}, {'Genre_list': 'Epic Fantasy'}]","312 pages, Paperback","First published July 15, 2022",20 people are currently reading,33641 people want to read,"1 book3,529 followers","7,839 (45%)","7,763 (44%)",880 (5%),586 (3%),259 (1%)
652,"Swann’s Way (In Search of Lost Time, #1)",Marcel Proust," 4.15 avg rating — 65,352 ratings","score: 17,026",https://www.goodreads.com/book/show/12749.Swann_s_Way,"Marcel Proust’s In Search of Lost Time is one of the most entertaining reading experiences in any language and arguably the finest novel of the twentieth century. But since its original prewar translation there has been no completely new version in English. Now, Penguin Classics brings Proust’s masterpiece to new audiences throughout the world, beginning with Lydia Davis’s internationally acclaimed translation of the first volume, Swann’s Way.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'France'}, {'Genre_list': 'Literature'}, {'Genre_list': 'French Literature'}, {'Genre_list': 'Novels'}, {'Genre_list': 'Philosophy'}, {'Genre_list': '20th Century'}]","468 pages, Paperback","First published November 14, 1913",15171 people are currently reading,148105 people want to read,"1,843 books7,135 followers","31,767 (48%)","19,055 (29%)","9,258 (14%)","3,397 (5%)","1,874 (2%)"
653,The Truth About Forever,Sarah Dessen," 4.12 avg rating — 225,216 ratings","score: 17,017",https://www.goodreads.com/book/show/51737.The_Truth_About_Forever,"That's what Macy has to look forward to while her boyfriend, Jason, is away at Brain Camp. Days will be spent at a boring job in the library, evenings will be filled with vocabulary drills for the SATs, and spare time will be passed with her mother, the two of them sharing a silent grief at the traumatic loss of Macy's father.But sometimes, unexpected things can happen—things such as the catering job at Wish, with its fun-loving, chaotic crew. Or her sister's project of renovating the neglected beach house, awakening long-buried memories. Things such as meeting Wes, a boy with a past, a taste for Truth-telling, and an amazing artistic talent, the kind of boy who could turn any girl's world upside down. As Macy ventures out of her shell, she begins to question her sheltered life.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Chick Lit'}, {'Genre_list': 'Realistic Fiction'}, {'Genre_list': 'Teen'}]","374 pages, Paperback","First published May 11, 2004",2553 people are currently reading,132405 people want to read,88 books47.2k followers,"96,623 (42%)","74,625 (33%)","41,307 (18%)","9,273 (4%)","3,388 (1%)"
654,"Trainspotting (Mark Renton, #2)",Irvine Welsh," 4.11 avg rating — 173,931 ratings","score: 16,940",https://www.goodreads.com/book/show/135836.Trainspotting,"''The best book ever written by man or woman . . . Deserves to sell more copies than the Bible"" —Rebel IncTHE BESTSELLING NOVEL THAT INSPIRED DANNY BOYLE’S CULT FILMDescribed by The Sunday Times as ""the voice of punk, grown up, grown wiser and grown eloquent,"" Trainspotting follows the lives of a group of Scottish junkies. Its bleak depiction of drug addiction is vivid and brutal, and has lost none of its power to shock. Choose the book that outraged the critics. Choose the literary phenomenon that defined a generation. Choose Trainspotting by Irvine Welsh.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Scotland'}, {'Genre_list': 'Novels'}, {'Genre_list': 'Crime'}, {'Genre_list': 'Literature'}]","431 pages, Paperback","First published January 1, 1993",3546 people are currently reading,152748 people want to read,"163 books7,301 followers","70,351 (40%)","65,415 (37%)","28,208 (16%)","6,686 (3%)","3,270 (1%)"
655,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore," 3.94 avg rating — 348,672 ratings","score: 16,920",https://www.goodreads.com/book/show/7747374-i-am-number-four,"Nine of us came here. We look like you. We talk like you. We live among you. But we are not you. We can do things you dream of doing. We have powers you dream of having. We are stronger and faster than anything you have ever seen. We are the superheroes you worship in movies and comic books--but we are real.Our plan was to grow, and train, and become strong, and become one, and fight them. But they found us and started hunting us first. Now all of us are running. Spending our lives in shadows, in places where no one would look, blending in. We have lived among you without you knowing.But they know.They caught Number One in Malaysia.Number Two in England.And Number Three in Kenya.They killed them all.I am Number Four.I am next.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Aliens'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Paranormal'}]","440 pages, Hardcover","First published August 3, 2010",6884 people are currently reading,182574 people want to read,82 books11.7k followers,"124,200 (35%)","117,554 (33%)","75,598 (21%)","22,718 (6%)","8,602 (2%)"
656,Twelfth Night,William Shakespeare," 3.96 avg rating — 190,829 ratings","score: 16,865",https://www.goodreads.com/book/show/1625.Twelfth_Night,"Named for the twelfth night after Christmas, the end of the Christmas season, Twelfth Night plays with love and power. The Countess Olivia, a woman with her own household, attracts Duke (or Count) Orsino. Two other would-be suitors are her pretentious steward, Malvolio, and Sir Andrew Aguecheek.Onto this scene arrive the twins Viola and Sebastian; caught in a shipwreck, each thinks the other has drowned. Viola disguises herself as a male page and enters Orsino’s service. Orsino sends her as his envoy to Olivia—only to have Olivia fall in love with the messenger. The play complicates, then wonderfully untangles, these relationships.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Plays'}, {'Genre_list': 'Drama'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'School'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Theatre'}]","272 pages, Mass Market Paperback","First published January 1, 1602",3453 people are currently reading,74727 people want to read,22.3k books45.8k followers,"63,186 (33%)","71,441 (37%)","44,350 (23%)","9,545 (5%)","2,307 (1%)"
657,"The Goose Girl (The Books of Bayern, #1)",Shannon Hale," 4.14 avg rating — 146,866 ratings","score: 16,840",https://www.goodreads.com/book/show/179064.The_Goose_Girl,"She was born with her eyes closed and a word on her tongue, a word she could not taste.Her name was Anidori-Kiladra Talianna Isilee, Crown Princess of Kildenree, and she spent the first years of her life listening to her aunt’s stories and learning the language of the birds, especially the swans. And when she was older, she watched as a colt was born, and she heard the first word on his tongue, his name, Falada.From the Grimm’s fairy tale of the princess who became a goose girl before she could become queen, Shannon Hale has woven an incredible, original, and magical tale of a girl who must find her own unusual talents before she can lead the people she has made her own.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Fairy Tales'}, {'Genre_list': 'Retellings'}, {'Genre_list': 'Middle Grade'}]","383 pages, Paperback","First published August 4, 2003",1444 people are currently reading,76098 people want to read,142 books13.9k followers,"66,507 (45%)","48,534 (33%)","22,245 (15%)","5,591 (3%)","3,989 (2%)"
658,Lady Chatterley’s Lover,D.H. Lawrence," 3.50 avg rating — 133,413 ratings","score: 16,752",https://www.goodreads.com/book/show/32049.Lady_Chatterley_s_Lover,"Lawrence's frank portrayal of an extramarital affair and the explicit sexual explorations of its central characters caused this controversial book, now considered a masterpiece, to be banned as pornography until 1960.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Banned Books'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Novels'}]","376 pages, Hardcover","First published January 1, 1928",12087 people are currently reading,114309 people want to read,"1,949 books4,026 followers","25,201 (18%)","42,897 (32%)","43,978 (32%)","15,999 (11%)","5,338 (4%)"
659,Nine Stories,J.D. Salinger," 4.18 avg rating — 152,142 ratings","score: 16,708",https://www.goodreads.com/book/show/4009.Nine_Stories,"Nine Stories (1953) is a collection of short stories by American fiction writer J. D. Salinger published in April 1953. It includes two of his most famous short stories, ""A Perfect Day for Bananafish"" and ""For Esmé – with Love and Squalor"". (Nine Stories is the U.S. title; the book is published in many other countries as For Esmé - with Love and Squalor, and Other Stories.)The stories are:""A Perfect Day for Bananafish""""Uncle Wiggily in Connecticut""""Just Before the War with the Eskimos""""The Laughing Man""""Down at the Dinghy""""For Esmé – with Love and Squalor""""Pretty Mouth and Green My Eyes""""De Daumier-Smith's Blue Period""""Teddy""","[{'Genre_list': 'Short Stories'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Literature'}, {'Genre_list': 'American'}, {'Genre_list': '20th Century'}, {'Genre_list': 'Literary Fiction'}]","302 pages, Paperback","First published April 6, 1953",3940 people are currently reading,87565 people want to read,178 books15.8k followers,"66,746 (43%)","54,337 (35%)","24,275 (15%)","4,911 (3%)","1,873 (1%)"
660,"Viciously Yours (Fae Kings of Eden, #1)",Jamie Applegate Hunter," 3.60 avg rating — 38,569 ratings","score: 16,648",https://www.goodreads.com/book/show/205404157-viciously-yours,"""I don't need a line to know what's considered good or bad, but if I did, there isn't a line I wouldn't cross for you.""When Rennick was thirteen, the gods bestowed upon him the name of his fated mate--a human  girl. As the sole heir to the Mountain Kingdom, magic bound him to his kingdom until he ascended the throne on his twenty-fifth birthday, and as a human, she couldn't cross the magical barrier separating the humans from the fae. Heartsore and consumed with thoughts of her, he did the only thing he could and sent her anonymous letters and gifts…Until he crossed the barrier into her kingdom to claim her as his own.Six months after Amelia's thirteenth birthday, she received a strange letter from a fae boy claiming her as his mate. Humans weren't taught much about the fae, and one look at the horrifying doll meant to be her belated birthday gift solidified her suspicions that someone was playing a cruel joke. Except the letters and odd gifts kept coming. Against her better judgment, Amelia fell in love with her mysterious admirer throughout the years, certain they would never meet. But on her twenty-fifth birthday, her walk to work was interrupted by two familiar words she'd read a million times.""Hello, love.""Viciously Yours is a new adult fantasy romance long novella/short novel of about 60k words/250 pages. It is fast-paced and focuses solely on the relationship between the two main characters. There is no overarching background plot. Example: Rebels attack the kingdoms, but there is no story as to why because it just is.The couple does have minor obstacles, but there is no miscommunication trope, no third act breakup, and no cheating.PLEASE NOTE: The male main character does a few morally black things to those he deems a threat to his relationship. There are no shades of grey.CONTENT WARNINGS:Orphaned heroine, gore, unethical kills and decisions by main characters, death of a parent, mature language, explicit sexual situations, graphic violence and death","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Romantasy'}, {'Genre_list': 'Fae'}, {'Genre_list': 'Fantasy Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Magic'}]","258 pages, Kindle Edition","First published January 23, 2024",5142 people are currently reading,50934 people want to read,"17 books1,547 followers","9,081 (23%)","12,226 (31%)","11,629 (30%)","4,166 (10%)","1,467 (3%)"
661,"Caraval (Caraval, #1)",Stephanie Garber," 3.97 avg rating — 757,146 ratings","score: 16,629",https://www.goodreads.com/book/show/27883214-caraval,"A legendary competition.A mesmerizing romance.An unbreakable bondbetween two sisters.Scarlett Dragna has never left the tiny island where she and her sister, Tella, live with their powerful, and cruel, father. Now Scarlett’s father has arranged a marriage for her, and Scarlett thinks her dreams of seeing Caraval—the faraway, once-a-year performance where the audience participates in the show—are over.But this year, Scarlett’s long-dreamt-of invitation finally arrives. With the help of a mysterious sailor, Tella whisks Scarlett away to the show. Only, as soon as they arrive, Tella is kidnapped by Caraval’s mastermind organizer, Legend. It turns out that this season’s Caraval revolves around Tella, and whoever finds her first is the winner.Scarlett has been told that everything that happens during Caraval is only an elaborate performance. Nevertheless she becomes enmeshed in a game of love, heartbreak, and magic. And whether Caraval is real or not, Scarlett must find Tella before the five nights of the game are over or a dangerous domino effect of consequences will be set off, and her beloved sister will disappear forever.Welcome, welcome to Caraval . . . beware of getting swept too far away.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Magic'}, {'Genre_list': 'Romantasy'}]","407 pages, Hardcover","First published September 29, 2016",36065 people are currently reading,1025838 people want to read,23 books73.8k followers,"256,763 (33%)","288,262 (38%)","158,821 (20%)","40,480 (5%)","12,829 (1%)"
662,I Capture the Castle,Dodie Smith," 3.99 avg rating — 111,280 ratings","score: 16,613",https://www.goodreads.com/book/show/31122.I_Capture_the_Castle,"Through six turbulent months of 1934, 17-year-old Cassandra Mortmain keeps a journal, filling three notebooks with sharply funny yet poignant entries about her home, a ruined Suffolk castle, and her eccentric and penniless family. By the time the last diary shuts, there have been great changes in the Mortmain household, not the least of which is that Cassandra is deeply, hopelessly, in love.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Coming Of Age'}]","408 pages, Hardcover","First published January 1, 1948",3600 people are currently reading,129357 people want to read,"98 books1,187 followers","38,680 (34%)","41,991 (37%)","23,125 (20%)","5,871 (5%)","1,613 (1%)"
663,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons," 4.29 avg rating — 91,664 ratings","score: 16,556",https://www.goodreads.com/book/show/83144.The_Bronze_Horseman,"Librarian note: alternate covers for this edition can be found here and here and here.During the summer of 1941 the Metanov family are living a hard life in Leningrad. As the German armies advance their future looks bleak. For Tatiana, love arrives in the guise of Alexander, who harbours a deadly and extraordinary secret.","[{'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Historical'}, {'Genre_list': 'Historical Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'War'}, {'Genre_list': 'Russia'}]","637 pages, Paperback","First published July 17, 2000",5857 people are currently reading,112232 people want to read,"42 books5,228 followers","52,595 (57%)","22,232 (24%)","10,299 (11%)","4,217 (4%)","2,321 (2%)"
664,Gray After Dark,Noelle W. Ihli," 4.21 avg rating — 69,872 ratings","score: 16,551",https://www.goodreads.com/book/show/204787816-gray-after-dark,"A merciless wilderness. A harrowing attack. A desperate escape.When a tragic accident sidelines Miley's dreams of Olympic gold, she takes a summer job at a mountain guest lodge.The Frank Church Wilderness is remote, but it’s the perfect place to train and recover. Local lore about a staffer who died years ago doesn’t scare her. But it should. Miley’s plans take a terrifying detour when she’s abducted during a morning run. Held captive in a desolate off-grid cabin, she’ll have to use her athletic prowess, cunning mind, and courage to survive. But as the nightmare at the cabin escalates, Miley is forced to form an unlikely alliance and attempt a risky escape.Can she outwit her captors and survive the wilderness before it’s too late?Inspired by true events, Gray After Dark is a pulse-pounding psychological thriller with a finale that will leave you breathless.","[{'Genre_list': 'Thriller'}, {'Genre_list': 'Mystery Thriller'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Suspense'}, {'Genre_list': 'Psychological Thriller'}]","370 pages, Kindle Edition","First published March 22, 2024",12657 people are currently reading,130193 people want to read,"13 books7,024 followers","28,522 (40%)","29,864 (42%)","9,763 (13%)","1,375 (1%)",343 (<1%)
